step,time,msd
0,0.0,0.0
1,1.0,1.0
2,2.0,2.02
3,3.0,3.076
4,4.0,4.24
5,5.0,5.184
6,6.0,6.356
7,7.0,7.368
8,8.0,8.386
9,9.0,9.452
10,10.0,10.37
11,11.0,11.524
12,12.0,12.738
13,13.0,13.596
14,14.0,14.818
15,15.0,15.688
16,16.0,16.772
17,17.0,17.96
18,18.0,19.294
19,19.0,20.476
20,20.0,21.56
21,21.0,22.856
22,22.0,23.892
23,23.0,24.684
24,24.0,25.966
25,25.0,27.32
26,26.0,28.454
27,27.0,29.02
28,28.0,29.972
29,29.0,30.916
30,30.0,32.122
31,31.0,33.276
32,32.0,34.394
33,33.0,35.752
34,34.0,37.03
35,35.0,38.296
36,36.0,39.292
37,37.0,40.388
38,38.0,41.904
39,39.0,42.836
40,40.0,43.438
41,41.0,45.096
42,42.0,45.916
43,43.0,47.048
44,44.0,48.226
45,45.0,49.588
46,46.0,51.308
47,47.0,52.244
48,48.0,53.038
49,49.0,54.18
50,50.0,55.482
51,51.0,56.512
52,52.0,57.31
53,53.0,58.356
54,54.0,59.228
55,55.0,60.444
56,56.0,61.124
57,57.0,61.728
58,58.0,62.57
59,59.0,63.592
60,60.0,64.432
61,61.0,64.9
62,62.0,65.72
63,63.0,66.784
64,64.0,67.862
65,65.0,68.296
66,66.0,69.012
67,67.0,70.1
68,68.0,71.158
69,69.0,71.68
70,70.0,73.068
71,71.0,73.848
72,72.0,74.308
73,73.0,75.556
74,74.0,76.754
75,75.0,77.512
76,76.0,78.594
77,77.0,79.404
78,78.0,80.604
79,79.0,81.872
80,80.0,82.7
81,81.0,83.448
82,82.0,84.478
83,83.0,85.336
84,84.0,86.47
85,85.0,87.988
86,86.0,88.354
87,87.0,89.716
88,88.0,90.902
89,89.0,91.588
90,90.0,92.124
91,91.0,93.344
92,92.0,93.974
93,93.0,94.352
94,94.0,95.35
95,95.0,95.852
96,96.0,96.488
97,97.0,97.004
98,98.0,97.742
99,99.0,98.844
100,100.0,98.91
101,101.0,99.788
102,102.0,101.238
103,103.0,101.936
104,104.0,102.92
105,105.0,104.468
106,106.0,105.074
107,107.0,106.944
108,108.0,107.414
109,109.0,107.812
110,110.0,109.3
111,111.0,110.576
112,112.0,111.828
113,113.0,112.516
114,114.0,113.284
115,115.0,113.928
116,116.0,114.902
117,117.0,116.016
118,118.0,116.676
119,119.0,117.476
120,120.0,118.02
121,121.0,118.572
122,122.0,119.674
123,123.0,121.268
124,124.0,122.146
125,125.0,124.204
126,126.0,125.216
127,127.0,126.072
128,128.0,127.084
129,129.0,127.524
130,130.0,127.816
131,131.0,128.82
132,132.0,130.1
133,133.0,132.24
134,134.0,133.762
135,135.0,135.092
136,136.0,136.632
137,137.0,136.712
138,138.0,138.082
139,139.0,139.44
140,140.0,140.884
141,141.0,141.644
142,142.0,142.29
143,143.0,143.528
144,144.0,144.67
145,145.0,146.044
146,146.0,147.16
147,147.0,147.892
148,148.0,148.842
149,149.0,149.524
150,150.0,149.784
151,151.0,150.468
152,152.0,152.712
153,153.0,153.54
154,154.0,154.214
155,155.0,155.92
156,156.0,156.718
157,157.0,158.008
158,158.0,157.628
159,159.0,157.556
160,160.0,159.614
161,161.0,160.48
162,162.0,162.6
163,163.0,163.82
164,164.0,165.214
165,165.0,166.084
166,166.0,166.614
167,167.0,166.264
168,168.0,166.942
169,169.0,167.424
170,170.0,168.37
171,171.0,169.412
172,172.0,171.07
173,173.0,172.42
174,174.0,173.288
175,175.0,174.308
176,176.0,174.772
177,177.0,175.596
178,178.0,175.962
179,179.0,177.036
180,180.0,178.398
181,181.0,179.08
182,182.0,179.91
183,183.0,180.932
184,184.0,180.876
185,185.0,182.16
186,186.0,183.27
187,187.0,183.668
188,188.0,184.77
189,189.0,185.024
190,190.0,184.956
191,191.0,186.736
192,192.0,188.248
193,193.0,189.28
194,194.0,189.482
195,195.0,190.652
196,196.0,191.358
197,197.0,193.752
198,198.0,194.66
199,199.0,194.988
200,200.0,196.162
201,201.0,196.964
202,202.0,197.478
203,203.0,198.592
204,204.0,199.494
205,205.0,200.484
206,206.0,200.614
207,207.0,202.376
208,208.0,203.952
209,209.0,204.768
210,210.0,205.124
211,211.0,207.232
212,212.0,208.196
213,213.0,208.804
214,214.0,209.728
215,215.0,210.396
216,216.0,211.742
217,217.0,212.664
218,218.0,214.446
219,219.0,215.996
220,220.0,216.004
221,221.0,216.732
222,222.0,218.676
223,223.0,221.18
224,224.0,222.554
225,225.0,223.792
226,226.0,224.778
227,227.0,225.144
228,228.0,226.428
229,229.0,226.556
230,230.0,226.72
231,231.0,227.268
232,232.0,228.384
233,233.0,229.352
234,234.0,231.46
235,235.0,231.932
236,236.0,232.624
237,237.0,232.412
238,238.0,234.214
239,239.0,236.228
240,240.0,235.588
241,241.0,236.288
242,242.0,238.546
243,243.0,239.416
244,244.0,240.238
245,245.0,241.036
246,246.0,242.838
247,247.0,244.116
248,248.0,245.868
249,249.0,246.62
250,250.0,248.388
251,251.0,249.236
252,252.0,250.942
253,253.0,252.3
254,254.0,253.122
255,255.0,254.6
256,256.0,255.004
257,257.0,255.904
258,258.0,256.862
259,259.0,258.132
260,260.0,260.056
261,261.0,261.912
262,262.0,262.694
263,263.0,263.736
264,264.0,265.41
265,265.0,267.056
266,266.0,266.796
267,267.0,267.872
268,268.0,270.53
269,269.0,271.536
270,270.0,272.904
271,271.0,275.492
272,272.0,276.506
273,273.0,277.844
274,274.0,278.888
275,275.0,278.74
276,276.0,279.298
277,277.0,280.576
278,278.0,280.744
279,279.0,283.644
280,280.0,285.242
281,281.0,285.752
282,282.0,286.992
283,283.0,287.5
284,284.0,289.436
285,285.0,290.612
286,286.0,291.484
287,287.0,294.468
288,288.0,294.648
289,289.0,294.548
290,290.0,296.424
291,291.0,297.324
292,292.0,299.904
293,293.0,300.692
294,294.0,301.964
295,295.0,303.156
296,296.0,303.338
297,297.0,303.308
298,298.0,303.444
299,299.0,303.776
300,300.0,306.614
301,301.0,308.784
302,302.0,310.38
303,303.0,310.464
304,304.0,312.048
305,305.0,314.512
306,306.0,315.57
307,307.0,316.076
308,308.0,317.766
309,309.0,318.516
310,310.0,317.664
311,311.0,319.276
312,312.0,320.328
313,313.0,321.152
314,314.0,323.262
315,315.0,324.492
316,316.0,326.558
317,317.0,327.128
318,318.0,326.83
319,319.0,327.68
320,320.0,330.042
321,321.0,329.864
322,322.0,331.322
323,323.0,331.476
324,324.0,332.066
325,325.0,331.9
326,326.0,332.41
327,327.0,332.512
328,328.0,334.188
329,329.0,334.848
330,330.0,336.862
331,331.0,337.364
332,332.0,336.92
333,333.0,338.596
334,334.0,338.408
335,335.0,340.04
336,336.0,341.012
337,337.0,341.2
338,338.0,342.348
339,339.0,342.352
340,340.0,344.862
341,341.0,345.104
342,342.0,346.692
343,343.0,347.664
344,344.0,348.584
345,345.0,349.552
346,346.0,350.346
347,347.0,350.408
348,348.0,349.928
349,349.0,350.492
350,350.0,350.176
351,351.0,353.14
352,352.0,354.944
353,353.0,355.86
354,354.0,356.488
355,355.0,356.508
356,356.0,357.516
357,357.0,359.048
358,358.0,359.854
359,359.0,360.184
360,360.0,361.372
361,361.0,361.62
362,362.0,362.734
363,363.0,365.848
364,364.0,367.062
365,365.0,367.42
366,366.0,368.94
367,367.0,370.752
368,368.0,371.162
369,369.0,371.512
370,370.0,372.832
371,371.0,373.596
372,372.0,375.268
373,373.0,377.22
374,374.0,380.026
375,375.0,382.252
376,376.0,382.59
377,377.0,384.928
378,378.0,386.478
379,379.0,385.184
380,380.0,386.346
381,381.0,387.76
382,382.0,388.64
383,383.0,388.424
384,384.0,391.394
385,385.0,391.804
386,386.0,393.342
387,387.0,395.624
388,388.0,395.946
389,389.0,396.724
390,390.0,398.022
391,391.0,397.724
392,392.0,398.812
393,393.0,400.012
394,394.0,402.89
395,395.0,404.144
396,396.0,404.83
397,397.0,403.792
398,398.0,405.336
399,399.0,407.684
400,400.0,407.818
401,401.0,408.448
402,402.0,409.038
403,403.0,410.348
404,404.0,410.128
405,405.0,410.18
406,406.0,412.528
407,407.0,414.204
408,408.0,415.234
409,409.0,415.464
410,410.0,415.684
411,411.0,415.916
412,412.0,416.552
413,413.0,417.904
414,414.0,418.6
415,415.0,420.108
416,416.0,420.054
417,417.0,420.824
418,418.0,422.316
419,419.0,425.04
420,420.0,426.982
421,421.0,426.624
422,422.0,426.052
423,423.0,425.592
424,424.0,426.842
425,425.0,428.148
426,426.0,429.81
427,427.0,430.38
428,428.0,431.304
429,429.0,432.412
430,430.0,433.13
431,431.0,434.748
432,432.0,435.776
433,433.0,435.064
434,434.0,437.636
435,435.0,437.76
436,436.0,437.954
437,437.0,438.152
438,438.0,439.572
439,439.0,441.132
440,440.0,441.46
441,441.0,442.488
442,442.0,445.278
443,443.0,445.268
444,444.0,444.548
445,445.0,445.624
446,446.0,446.582
447,447.0,448.872
448,448.0,451.056
449,449.0,451.6
450,450.0,452.084
451,451.0,453.58
452,452.0,453.758
453,453.0,455.408
454,454.0,455.806
455,455.0,456.504
456,456.0,457.43
457,457.0,458.464
458,458.0,459.01
459,459.0,459.552
460,460.0,461.008
461,461.0,462.044
462,462.0,462.094
463,463.0,463.12
464,464.0,465.372
465,465.0,466.76
466,466.0,468.468
467,467.0,470.208
468,468.0,472.54
469,469.0,473.16
470,470.0,474.518
471,471.0,477.12
472,472.0,480.934
473,473.0,482.412
474,474.0,482.978
475,475.0,484.104
476,476.0,485.72
477,477.0,487.016
478,478.0,486.48
479,479.0,487.788
480,480.0,487.808
481,481.0,489.36
482,482.0,490.878
483,483.0,491.432
484,484.0,491.144
485,485.0,491.688
486,486.0,491.898
487,487.0,493.204
488,488.0,492.83
489,489.0,494.736
490,490.0,495.406
491,491.0,495.284
492,492.0,496.95
493,493.0,497.996
494,494.0,500.396
495,495.0,501.26
496,496.0,501.36
497,497.0,502.976
498,498.0,504.426
499,499.0,505.856
500,500.0,506.926
